Version 4
SHEET 1 5828 1652
WIRE 3232 -480 3088 -480
WIRE -208 -464 -208 -496
WIRE -192 -464 -208 -464
WIRE -112 -464 -112 -624
WIRE -64 -464 -112 -464
WIRE 3440 -464 3440 -528
WIRE 3440 -464 3296 -464
WIRE 3472 -464 3440 -464
WIRE 1808 -448 1808 -480
WIRE 2496 -448 2496 -544
WIRE 2912 -448 2496 -448
WIRE -576 -432 -704 -432
WIRE 1104 -432 1040 -432
WIRE 1424 -432 1360 -432
WIRE 1536 -432 1536 -480
WIRE 4192 -432 4192 -512
WIRE 1632 -416 1632 -480
WIRE 1680 -416 1632 -416
WIRE 5504 -416 5504 -624
WIRE 5664 -416 5584 -416
WIRE 656 -400 560 -400
WIRE 800 -400 720 -400
WIRE 912 -400 864 -400
WIRE -496 -384 -496 -768
WIRE -464 -384 -496 -384
WIRE -368 -384 -368 -496
WIRE -368 -384 -384 -384
WIRE -320 -384 -368 -384
WIRE -576 -368 -576 -432
WIRE -208 -368 -208 -464
WIRE -208 -368 -256 -368
WIRE -320 -352 -368 -352
WIRE 1424 -352 1424 -432
WIRE 1488 -352 1424 -352
WIRE 5664 -352 5664 -416
WIRE 1680 -336 1680 -416
WIRE 1168 -304 1168 -352
WIRE 1296 -304 1296 -352
WIRE 3088 -304 3088 -480
WIRE -480 -288 -480 -672
WIRE -480 -288 -576 -288
WIRE -368 -288 -368 -352
WIRE -368 -288 -480 -288
WIRE 560 -288 560 -400
WIRE 608 -288 560 -288
WIRE -208 -272 -208 -368
WIRE -160 -272 -208 -272
WIRE -64 -272 -96 -272
WIRE -32 -272 -64 -272
WIRE 32 -272 -32 -272
WIRE 608 -272 560 -272
WIRE 784 -272 672 -272
WIRE 1040 -272 1040 -432
WIRE 1040 -272 848 -272
WIRE 192 -256 96 -256
WIRE 368 -256 368 -560
WIRE 560 -256 560 -272
WIRE 560 -256 368 -256
WIRE 1488 -256 1488 -352
WIRE 1632 -256 1488 -256
WIRE 32 -240 -464 -240
WIRE 5104 -224 4944 -224
WIRE -64 -208 -64 -272
WIRE 64 -208 64 -224
WIRE 5664 -208 5664 -272
WIRE 5664 -208 5584 -208
WIRE -64 -96 -64 -128
WIRE 4000 -96 3952 -96
WIRE -464 -80 -464 -240
WIRE -464 -80 -704 -80
WIRE 832 -80 736 -80
WIRE 1024 -80 896 -80
WIRE 3696 -80 3696 -528
WIRE 3872 -80 3696 -80
WIRE 3952 -80 3952 -96
WIRE 3952 -80 3872 -80
WIRE 4192 -80 4192 -192
WIRE 4192 -80 4096 -80
WIRE 4512 -80 4192 -80
WIRE 4672 -80 4576 -80
WIRE 4800 -80 4736 -80
WIRE 4944 -80 4944 -224
WIRE 4944 -80 4880 -80
WIRE 5104 -80 5104 -224
WIRE 5104 -80 5072 -80
WIRE 4000 -64 3968 -64
WIRE 4096 -64 4096 -80
WIRE 4096 -64 4064 -64
WIRE 1360 -48 1360 -128
WIRE 3872 -32 3872 -80
WIRE -64 0 -64 -16
WIRE 3968 16 3968 -64
WIRE 4224 16 3968 16
WIRE 5008 32 5008 -32
WIRE 5504 32 5504 -208
WIRE 5504 32 5008 32
WIRE 5824 32 5504 32
WIRE 4192 48 4192 -80
WIRE 4192 48 3968 48
WIRE 1024 80 1024 -80
WIRE 1024 80 896 80
WIRE 1360 80 1360 16
WIRE 1360 80 1104 80
WIRE 736 96 736 -80
WIRE 832 96 736 96
WIRE 5008 96 5008 32
WIRE 5024 96 5008 96
WIRE 1360 112 1360 80
WIRE 3968 128 3968 48
WIRE 4000 128 3968 128
WIRE 4208 144 4096 144
WIRE 4224 144 4224 16
WIRE 4224 144 4208 144
WIRE 4512 144 4224 144
WIRE 4656 144 4576 144
WIRE 4800 144 4720 144
WIRE 4960 144 4880 144
WIRE 3872 160 3872 32
WIRE 4000 160 3872 160
WIRE 4096 160 4096 144
WIRE 4096 160 4064 160
WIRE 4208 224 4208 144
WIRE 1360 240 1360 192
WIRE 1536 816 1440 816
WIRE 1888 816 1600 816
WIRE 1680 864 1632 864
WIRE 1888 864 1888 816
WIRE 1888 864 1760 864
WIRE 1888 912 1888 864
WIRE 2016 912 1888 912
WIRE 1312 960 1280 960
WIRE 1440 960 1440 816
WIRE 1440 960 1392 960
WIRE 1536 960 1440 960
WIRE 1632 960 1632 864
WIRE 1632 960 1600 960
WIRE 1744 960 1632 960
WIRE 1888 976 1888 912
WIRE 1888 976 1808 976
WIRE 1440 992 1440 960
WIRE 1280 1056 1280 960
WIRE 1280 1056 1136 1056
WIRE 2976 1056 2944 1056
WIRE 3088 1056 3056 1056
WIRE 3664 1072 3296 1072
WIRE 3296 1152 3296 1072
WIRE 3360 1152 3296 1152
WIRE 2864 1168 2864 1120
WIRE 2944 1168 2944 1056
WIRE 2944 1168 2864 1168
WIRE 2992 1168 2944 1168
WIRE 3456 1168 3424 1168
WIRE 3568 1168 3520 1168
WIRE 3664 1168 3664 1072
WIRE 3664 1168 3568 1168
WIRE 3088 1184 3088 1056
WIRE 3088 1184 3056 1184
WIRE 3200 1184 3088 1184
WIRE 3296 1184 3264 1184
WIRE 3360 1184 3296 1184
WIRE 2864 1200 2864 1168
WIRE 2992 1200 2960 1200
WIRE 3296 1200 3296 1184
WIRE 3568 1200 3568 1168
WIRE 1536 1264 1520 1264
WIRE 1888 1264 1600 1264
WIRE 3664 1280 3664 1248
WIRE 3744 1280 3664 1280
WIRE 3824 1280 3744 1280
WIRE 1680 1296 1632 1296
WIRE 1888 1296 1888 1264
WIRE 1888 1296 1760 1296
WIRE 3088 1296 3088 1184
WIRE 3664 1296 3664 1280
WIRE 1888 1344 1888 1296
WIRE 2016 1344 1888 1344
WIRE 2608 1360 2608 1328
WIRE 1280 1392 1280 1056
WIRE 1312 1392 1280 1392
WIRE 1440 1392 1392 1392
WIRE 1520 1392 1520 1264
WIRE 1520 1392 1440 1392
WIRE 1536 1392 1520 1392
WIRE 1632 1392 1632 1296
WIRE 1632 1392 1600 1392
WIRE 1744 1392 1632 1392
WIRE 1888 1408 1888 1344
WIRE 1888 1408 1808 1408
WIRE 1440 1440 1440 1392
WIRE 2608 1472 2608 1440
WIRE 2736 1472 2608 1472
WIRE 2608 1488 2608 1472
WIRE 1440 1536 1440 1520
WIRE 2608 1632 2608 1568
FLAG -576 -208 0
FLAG -512 272 0
FLAG -32 -448 0
FLAG -288 -336 0
FLAG 64 -208 0
FLAG -368 -288 Vcm
FLAG 64 -480 VSQR
IOPIN 64 -480 Out
FLAG -208 -368 VRAMP
IOPIN -208 -368 Out
FLAG -64 0 0
FLAG -288 -400 VDD
IOPIN -288 -400 In
FLAG -32 -512 VDD
IOPIN -32 -512 In
FLAG 64 -288 VDD
IOPIN 64 -288 In
FLAG 192 -256 VPWM
IOPIN 192 -256 Out
FLAG -32 -272 VRAMP_B
IOPIN -32 -272 Out
FLAG -704 -432 VDD
IOPIN -704 -432 In
FLAG -704 -80 VCTRL
IOPIN -704 -80 In
FLAG 496 -544 0
FLAG 496 -400 0
FLAG 1536 -336 0
FLAG 1808 -384 0
FLAG 1168 -304 0
FLAG 1296 -304 0
FLAG 768 -544 VGATE_N
FLAG 1904 -480 VOUT
IOPIN 1904 -480 Out
FLAG 1424 -352 VGATE_N
FLAG 912 -400 VGATE_P
FLAG 1168 -608 VDD
IOPIN 1168 -608 In
FLAG 1296 -608 VDD
IOPIN 1296 -608 In
FLAG 1536 -624 VDD
IOPIN 1536 -624 In
FLAG 1360 240 0
FLAG 736 96 VCTRL
IOPIN 736 96 Out
FLAG -512 192 VDD
IOPIN -512 192 In
FLAG 864 64 VDD
IOPIN 864 64 In
FLAG 896 112 VREF
IOPIN 896 112 In
FLAG 1360 -128 VOUT
IOPIN 1360 -128 In
FLAG 368 -656 VPWM
IOPIN 368 -656 Out
FLAG 1680 -240 0
FLAG 1424 -608 VGATE_P
FLAG 864 128 0
FLAG 4176 -912 0
FLAG 4192 -368 0
FLAG 2272 -48 0
FLAG 2272 -128 Vcm
IOPIN 2272 -128 Out
FLAG 2912 -448 Vin_a+
IOPIN 2912 -448 Out
FLAG 2912 -544 Vin_a-
IOPIN 2912 -544 Out
FLAG 3232 -656 Vin_a+
IOPIN 3232 -656 In
FLAG 3232 -448 Vin_a-
IOPIN 3232 -448 In
FLAG 3472 -672 Vpwm_p
IOPIN 3472 -672 Out
FLAG 3472 -464 Vpwm_n
IOPIN 3472 -464 Out
FLAG 3264 -736 Vdd
IOPIN 3264 -736 In
FLAG 3264 -528 Vdd
IOPIN 3264 -528 In
FLAG 3264 -640 0
FLAG 3264 -432 0
FLAG 2736 -496 0
FLAG 2736 -560 Vdd
IOPIN 2736 -560 In
FLAG 2704 -512 Vcm
IOPIN 2704 -512 In
FLAG 4992 -784 Vdd
IOPIN 4992 -784 In
FLAG 5008 -128 Vdd
IOPIN 5008 -128 In
FLAG 4992 -464 0
FLAG 5024 192 0
FLAG 4192 -256 0
FLAG 4208 288 0
FLAG 2960 1200 Vcm
IOPIN 2960 1200 In
FLAG 2784 1120 Vin1
IOPIN 2784 1120 In
FLAG 2784 1200 Vin2
IOPIN 2784 1200 In
FLAG 3296 1280 0
FLAG 3568 1264 0
FLAG 3664 1376 0
FLAG 3744 1344 0
FLAG 3024 1216 0
FLAG 3024 1152 VDD
IOPIN 3024 1152 In
FLAG 3392 1136 VDD
IOPIN 3392 1136 In
FLAG 1776 944 VDD
IOPIN 1776 944 In
FLAG 1776 1376 VDD
IOPIN 1776 1376 In
FLAG 1776 1008 0
FLAG 1776 1440 0
FLAG 1744 992 Vcm
IOPIN 1744 992 In
FLAG 1744 1424 Vcm
IOPIN 1744 1424 In
FLAG 1440 1072 0
FLAG 1440 1536 0
FLAG 1136 1056 Vin_audio
IOPIN 1136 1056 In
FLAG 2016 912 Vout_bpf1
IOPIN 2016 912 Out
FLAG 2016 1344 Vout_bpf2
IOPIN 2016 1344 Out
FLAG 2400 1440 0
FLAG 2400 1360 Vin_audio
IOPIN 2400 1360 Out
FLAG 2608 1632 0
FLAG 2608 1328 Vdd
IOPIN 2608 1328 In
FLAG 2736 1472 Vcm
IOPIN 2736 1472 Out
FLAG 2944 1552 0
FLAG 2944 1472 Vin1
IOPIN 2944 1472 Out
FLAG 3152 1552 0
FLAG 3152 1472 Vin2
IOPIN 3152 1472 Out
FLAG 3280 1472 0
FLAG 3280 1552 Vss
IOPIN 3280 1552 Out
FLAG 3392 1200 Vss
IOPIN 3392 1200 In
FLAG 3824 1280 VREF
IOPIN 3824 1280 Out
FLAG 3664 1072 Vpeak
IOPIN 3664 1072 Out
FLAG 2336 -544 Vin_A
IOPIN 2336 -544 In
FLAG 3088 1296 Vin_A
IOPIN 3088 1296 Out
FLAG 3088 -304 VRAMP
IOPIN 3088 -304 In
SYMBOL voltage -512 176 R0
WINDOW 123 0 0 Left 0
WINDOW 39 0 0 Left 0
SYMATTR InstName VDD1
SYMATTR Value {VDD}
SYMBOL res -592 -384 R0
SYMATTR InstName Ra1
SYMATTR Value 1k
SYMBOL res -592 -304 R0
SYMATTR InstName Rb1
SYMATTR Value 1k
SYMBOL res -368 -400 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R1
SYMATTR Value 1.25e6
SYMBOL cap -272 -512 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C1
SYMATTR Value 10pF
SYMBOL res -96 -480 R90
WINDOW 0 3 89 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R2
SYMATTR Value 3k
SYMBOL res 16 -640 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R3
SYMATTR Value 15k
SYMBOL cap -96 -288 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName Cbias1
SYMATTR Value 1n
SYMBOL res -80 -224 R0
SYMATTR InstName Rbias1
SYMATTR Value 10k
SYMBOL voltage -64 -112 R0
WINDOW 123 0 0 Left 0
WINDOW 39 0 0 Left 0
SYMATTR InstName V1
SYMATTR Value 2.5
SYMBOL Comparators\\LTC6752 -32 -544 R0
SYMATTR InstName U1
SYMBOL Comparators\\LTC6752 64 -320 R0
SYMATTR InstName U2
SYMBOL OpAmps\\UniversalOpamp2 -288 -368 R0
SYMATTR InstName U3
SYMBOL cap 560 -560 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C2
SYMATTR Value 2.2n
SYMBOL cap 560 -416 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C3
SYMATTR Value 2.2n
SYMBOL PowerProducts\\LTC1693-1 1232 -480 R0
SYMATTR InstName U4
SYMBOL pmos 1488 -528 M180
SYMATTR InstName M1
SYMATTR Value AO6407
SYMBOL nmos 1488 -432 R0
SYMATTR InstName M2
SYMATTR Value Si7336ADP
SYMBOL ind 1664 -464 R270
WINDOW 0 32 56 VTop 2
WINDOW 3 5 56 VBottom 2
SYMATTR InstName L1
SYMATTR Value 10µ
SYMBOL cap 1792 -448 R0
SYMATTR InstName C4
SYMATTR Value 47µ
SYMBOL Digital\\and 640 -720 R0
WINDOW 3 16 52 Left 2
SYMATTR Value Vhigh = 5
SYMATTR InstName A1
SYMBOL Digital\\and 640 -352 R0
WINDOW 3 16 52 Left 2
SYMATTR Value Vhigh=5
SYMATTR InstName A2
SYMBOL Digital\\inv 784 -336 R0
WINDOW 3 8 60 Left 2
SYMATTR Value Vhigh=5
SYMATTR InstName A3
SYMBOL Digital\\inv 720 -608 M0
WINDOW 3 8 60 Left 2
SYMATTR Value Vhigh=5
SYMATTR InstName A4
SYMBOL Digital\\inv 720 -464 M0
WINDOW 3 8 60 Left 2
SYMATTR Value Vhigh=5
SYMATTR InstName A5
SYMBOL Digital\\inv 864 -464 M0
WINDOW 3 8 60 Left 2
SYMATTR Value Vhigh=5
SYMATTR InstName A6
SYMBOL Digital\\inv 304 -624 M90
WINDOW 3 8 60 Left 2
SYMATTR Value Vhigh=5
SYMATTR InstName A7
SYMBOL OpAmps\\UniversalOpamp2 864 96 M0
SYMATTR InstName U5
SYMBOL cap 896 -96 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C5
SYMATTR Value 47n
SYMBOL res 1120 64 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R4
SYMATTR Value 10k
SYMBOL res 1376 208 R180
WINDOW 0 36 76 Left 2
WINDOW 3 36 40 Left 2
SYMATTR InstName R_sense1
SYMATTR Value 5
SYMBOL LED 1344 -48 R0
SYMATTR InstName D1
SYMBOL nmos 1632 -336 R0
SYMATTR InstName M3
SYMATTR Value Si7336ADP
SYMBOL cap 4160 -912 R0
SYMATTR InstName C6
SYMATTR Value 10p
SYMBOL cap 4176 -432 R0
SYMATTR InstName C7
SYMATTR Value 10p
SYMBOL res 4880 -752 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R5
SYMATTR Value 1.2k
SYMBOL pnp 5056 -688 R180
SYMATTR InstName Q1
SYMBOL pnp 5072 -32 R180
SYMATTR InstName Q2
SYMBOL npn 4928 -560 R0
SYMATTR InstName Q3
SYMBOL npn 4960 96 R0
SYMATTR InstName Q4
SYMBOL res 5600 -432 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R6
SYMATTR Value 16
SYMBOL res 5600 -224 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R7
SYMATTR Value 16
SYMBOL ind 5648 -368 R0
SYMATTR InstName L2
SYMATTR Value 1m
SYMBOL voltage 2272 -144 R0
SYMATTR InstName Vcm1
SYMATTR Value 2.5
SYMBOL cap 2480 -560 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C8
SYMATTR Value 33µ
SYMBOL Comparators\\LTC6752 3264 -736 R0
SYMATTR InstName U6
SYMBOL Comparators\\LTC6752 3264 -528 R0
SYMATTR InstName U7
SYMBOL res 2624 -560 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R8
SYMATTR Value 2k
SYMBOL res 2752 -672 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R9
SYMATTR Value 2k
SYMBOL OpAmps\\UniversalOpamp2 2736 -528 R0
SYMATTR InstName U8
SYMBOL res 4880 -528 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R10
SYMATTR Value 1.2k
SYMBOL cap 4176 -256 R0
SYMATTR InstName C9
SYMATTR Value 10p
SYMBOL cap 4192 224 R0
SYMATTR InstName C10
SYMATTR Value 10p
SYMBOL res 4896 -96 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R11
SYMATTR Value 1.2k
SYMBOL res 4896 128 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R12
SYMATTR Value 1.2k
SYMBOL res 3408 -544 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R13
SYMATTR Value 4.7k
SYMBOL res 3408 -752 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R14
SYMATTR Value 4.7k
SYMBOL Digital\\and 4016 -800 R0
WINDOW 3 16 52 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A8
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\and 4016 -576 R0
WINDOW 3 16 52 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A9
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 3920 -688 R90
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A10
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4496 -800 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A11
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4656 -800 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A12
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4496 -576 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A13
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4640 -576 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A14
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4512 -144 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A15
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4672 -144 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A16
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\and 4032 -144 R0
WINDOW 3 16 52 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A17
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\and 4032 80 R0
WINDOW 3 16 52 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A18
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4512 80 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A19
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 4656 80 R0
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A20
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL Digital\\inv 3936 -32 R90
WINDOW 3 8 4 Left 2
SYMATTR Value Vhigh=5 Vlow=0
SYMATTR InstName A21
SYMATTR Value2 Trise =5n Tfall = 5n Td =5n
SYMBOL res 2880 1104 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName Ra2
SYMATTR Value {R}
SYMBOL res 2880 1184 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName Rc1
SYMATTR Value {R}
SYMBOL res 3072 1040 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName Rb2
SYMATTR Value {R}
SYMBOL cap 3264 1168 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C11
SYMATTR Value {C1}
SYMBOL res 3280 1184 R0
SYMATTR InstName R15
SYMATTR Value {R1}
SYMBOL diode 3456 1184 R270
WINDOW 0 32 32 VTop 2
WINDOW 3 0 32 VBottom 2
SYMATTR InstName D2
SYMATTR Value 1N4148
SYMBOL cap 3552 1200 R0
SYMATTR InstName C12
SYMATTR Value {C2}
SYMBOL res 3648 1152 R0
SYMATTR InstName R16
SYMATTR Value {R2}
SYMBOL res 3648 1280 R0
SYMATTR InstName R17
SYMATTR Value {R3}
SYMBOL cap 3728 1280 R0
SYMATTR InstName C13
SYMATTR Value {C3}
SYMBOL res 1408 944 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R18
SYMATTR Value {10/den1}
SYMBOL res 1408 1376 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R19
SYMATTR Value {10/den2}
SYMBOL res 1424 976 R0
SYMATTR InstName R20
SYMATTR Value {1/(19.9*den1)}
SYMBOL res 1424 1424 R0
SYMATTR InstName R21
SYMATTR Value {1/(19.9*den2)}
SYMBOL cap 1600 944 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C14
SYMATTR Value 10n
SYMBOL cap 1600 1376 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C15
SYMATTR Value 10n
SYMBOL res 1776 848 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R22
SYMATTR Value {20/den1}
SYMBOL res 1776 1280 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R23
SYMATTR Value {20/den2}
SYMBOL cap 1600 800 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C16
SYMATTR Value 10n
SYMBOL cap 1600 1248 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C17
SYMATTR Value 10n
SYMBOL OpAmps\\UniversalOpamp2 1776 976 R0
SYMATTR InstName U9
SYMBOL OpAmps\\UniversalOpamp2 1776 1408 R0
SYMATTR InstName U10
SYMBOL voltage 2400 1344 R0
WINDOW 123 0 0 Left 0
WINDOW 39 0 0 Left 0
WINDOW 3 -115 136 Left 2
SYMATTR Value SINE(2.5 0.5 3k)
SYMATTR InstName V5
SYMBOL res 2592 1344 R0
SYMATTR InstName R24
SYMATTR Value 4.7k
SYMBOL res 2592 1472 R0
SYMATTR InstName R25
SYMATTR Value 4.7k
SYMBOL voltage 2944 1456 R0
WINDOW 123 0 0 Left 0
WINDOW 39 0 0 Left 0
WINDOW 3 -115 136 Left 2
SYMATTR Value SINE(2.5 0.9 3k)
SYMATTR InstName V6
SYMBOL voltage 3152 1456 R0
WINDOW 123 0 0 Left 0
WINDOW 39 0 0 Left 0
WINDOW 3 -115 136 Left 2
SYMATTR Value SINE(2.5 0.9 3k)
SYMATTR InstName V7
SYMBOL voltage 3280 1456 R0
SYMATTR InstName VSS1
SYMATTR Value 5
SYMBOL OpAmps\\UniversalOpamp2 3024 1184 R0
SYMATTR InstName U11
SYMBOL OpAmps\\UniversalOpamp2 3392 1168 R0
SYMATTR InstName U12
TEXT 248 72 Left 2 !.param VDD 5
TEXT -744 -184 Left 2 !.tran 0 0.1s 0 uic
TEXT 4408 -1064 Left 4 ;Experiment - 5\nH-Bridge
TEXT 3064 1216 Left 2 ;Vout_adder
TEXT 3672 1128 Left 2 ;Vpeak
TEXT 3800 1232 Left 2 ;Vref = Vpeak.R3/(R2+R3)
